종목명,ASVI_수요예측일,ASVI_공모청약일,ASVI_청약일_상장전일_기간,감성점수(평균),기관청약경쟁률,의무보유확약률(%),환율,cd유통수익률,소비자물가지수,생산자물가지수,산업생산지수,경기선행종합지수,소비자심리지수,유통가능물량(백만원),시초가 수익률,밴드수익률
쏘카,0.3837795674015387,0.9626543549770924,-0.2985829004931202,0.0,56.07,0.17,1318.44,2.79,108.63,116.45,107.8,109.0,89.0,101920.0,0.0,-0.2911392405063291
대성하이텍,0.5815015178841767,2.397245833729582,-0.1622653328388239,0.6153846153846154,1934.89,4.57,1318.44,2.79,108.63,116.45,107.8,109.0,89.0,29903.04,0.44,0.0975609756097561
에이치와이티씨,1.8029331630846843,1.723874771538934,-0.3750035307757324,0.7333333333333333,1480.78,6.08,1318.44,2.79,108.63,116.45,107.8,109.0,89.0,33900.0,-0.02,0.0714285714285714
새빗켐,2.2856719303005675,1.698457668503874,-0.2247479900810904,0.7222222222222222,1670.90,37.7,1318.44,2.79,108.63,116.45,107.8,109.0,89.0,37450.0,1.0,0.2727272727272727
수산인더스트리,0.8880324108141378,2.1190501060376725,-0.2541144665369724,0.25,130.37,18.94,1318.44,2.79,108.63,116.45,107.8,109.0,89.0,200025.0,-0.06,-0.1037131882202304
에이프릴바이오,0.7545968238630327,1.9343899619625984,-0.1506114962106167,0.5588235294117647,14.43 ,10.66,1307.4,2.41,108.73,116.9,109.6,108.8,86.2,25920.0,0.22,-0.2558139534883721
아이씨에이치,0.6179575460157318,1.9768744840954668,-0.2413583119567613,0.625,57.28,12.47,1307.4,2.41,108.73,116.9,109.6,108.8,86.2,40120.0,-0.1,-0.1282051282051282
성일하이텍,1.1175269483242714,2.483974484389195,0.2300492733835516,0.7647058823529411,2269.68,38.66,1307.4,2.41,108.73,116.9,109.6,108.8,86.2,133500.0,1.0,0.1337868480725623
루닛,1.1596392226512324,1.3686269414353194,-0.2564838285783286,0.3928571428571428,7.10 ,1.65,1307.4,2.41,108.73,116.9,109.6,108.8,86.2,36429.0,0.03,-0.3548387096774194
에이치피에스피,0.830827281471632,2.435821671937535,0.1591805480481982,0.7307692307692307,1511.36,42.54,1307.4,2.41,108.73,116.9,109.6,108.8,86.2,75000.0,1.0,0.0416666666666667
영창케미칼,0.7114831619072919,1.56742830340721,-0.1233687788395238,0.6666666666666666,1616.27,5.92,1307.4,2.41,108.73,116.9,109.6,108.8,86.2,44640.0,-0.01,0.1071428571428572
코난테크놀로지,0.897254329425822,2.0512405540553584,0.0215112003695369,0.6111111111111112,1482.6,7.07,1307.4,2.41,108.73,116.9,109.6,108.8,86.2,30000.0,0.41,0.0869565217391303
넥스트칩,1.4532436792279828,2.014893895583897,0.0749034950647931,0.625,1623.41,11.58,1307.4,2.41,108.73,116.9,109.6,108.8,86.2,33800.0,0.32,0.2093023255813952
보로노이,1.193000388718664,1.570451842191929,-0.3023213437074787,0.3653846153846153,28.35 ,0.0,1277.35,1.99,108.21,116.57,114.7,108.8,96.8,52000.0,-0.1,-0.0697674418604651
위니아에이드,1.134721344053724,2.293243858493493,0.0947196633070114,0.3888888888888889,955,1.39,1277.35,1.99,108.21,116.57,114.7,108.8,96.8,86930.61,-0.1,0.0657894736842106
레이저쎌,1.332013204840604,2.3378413549789565,0.1688357179921231,1.0,1442.95,12.43,1277.35,1.99,108.21,116.57,114.7,108.8,96.8,25600.0,0.29,0.2307692307692308
비플라이소프트,1.7113086909804878,1.6769204964081783,-0.3283117113892668,0.5454545454545454,111.05,0.76,1277.35,1.99,108.21,116.57,114.7,108.8,96.8,10000.0,0.05,-0.4366197183098591
범한퓨얼셀,0.7431272323649729,2.144224999478608,0.1194207073870879,0.8,751.39,10.75,1277.35,1.99,108.21,116.57,114.7,108.8,96.8,85440.0,0.02,0.10803324099723
청담글로벌,0.5817641367864832,2.488531009853202,-0.2026662591919178,0.4736842105263157,24.79 ,16.47,1277.35,1.99,108.21,116.57,114.7,108.8,96.8,38050.12,0.08,-0.3333333333333333
가온칩스,0.9509336790051944,2.055436775357575,-0.2649138511293929,0.6304347826086957,1847.12,14.7,1269.88,1.77,107.5,115.92,111.4,108.4,103.1,28000.0,0.73,0.1666666666666667
대명에너지,0.4981106362521608,1.714296887217913,-0.301990856637261,0.4736842105263157,254.74,1.18,1269.88,1.77,107.5,115.92,111.4,108.4,103.1,37500.0,0.03,-0.0909090909090909
포바이포,0.5503501964132251,2.3238225191219546,0.0113521394502475,0.6666666666666666,1846.32 ,55.52,1232.34,1.64,106.83,115.1,109.9,108.0,104.3,30174.44,1.0,0.3600000000000001
지투파워,1.1311810909179467,2.154616914071787,-0.2371539257805696,0.4736842105263157,1729.63,11.16,1232.34,1.64,106.83,115.1,109.9,108.0,104.3,14514.0,1.0,0.0969899665551838
세아메카닉스,0.6356615036097435,2.649376186365754,0.2284745624860523,0.6111111111111112,1812.83,6.73,1221.03,1.5,106.1,113.27,113.1,107.9,103.7,29260.0,1.0,0.1733333333333333
공구우먼,0.3566863011460821,0.6925563551316669,-0.0999134746774775,0.4444444444444444,56.9,2.65,1221.03,1.5,106.1,113.27,113.1,107.9,103.7,28000.0,0.08,-0.2982456140350877
유일로보틱스,0.9607871014400629,1.446270505743117,-0.2543063967720929,0.6,1756.45,15.92,1221.03,1.5,106.1,113.27,113.1,107.9,103.7,21500.0,1.0,0.1904761904761904
모아데이타,1.203074041667454,0.7225746014559773,-0.7407502947025727,0.5625,114.19,0.87,1221.03,1.5,106.1,113.27,113.1,107.9,103.7,16000.0,-0.1,-0.2307692307692307
노을,0.4817681607661983,0.9503885096974792,-0.3556719704690768,0.3571428571428571,31.50,0.0,1221.03,1.5,106.1,113.27,113.1,107.9,103.7,15000.0,-0.03,-0.3333333333333333
비씨엔씨,1.2400634745119672,1.6522230305378105,-0.2465336448635023,0.7857142857142857,1831.23,22.84,1221.03,1.5,106.1,113.27,113.1,107.9,103.7,32500.0,1.0,0.2682926829268293
풍원정밀,0.7553106317438516,2.046711849696925,-0.2447754402173802,0.7,1556.53,11.0,1198.34,1.5,105.42,111.57,99.3,107.7,103.5,45600.0,0.33,0.0704225352112675
브이씨,0.4828639700738462,1.506792429143315,-0.3032845290266582,0.5,190.59,19.93,1198.34,1.5,105.42,111.57,99.3,107.7,103.5,15000.0,0.16,-0.1304347826086956
퓨런티어,1.286416266505782,1.8394971974025829,-0.3193557131589228,0.4375,1535.42,11.08,1198.34,1.5,105.42,111.57,99.3,107.7,103.5,24000.0,1.0,0.1952191235059761
바이오에프디엔씨,0.6058348988466826,0.8898444140217263,-0.7103381226083165,0.2692307692307692,74.01,11.8,1198.34,1.5,105.42,111.57,99.3,107.7,103.5,36400.0,-0.1,0.0769230769230768
인카금융서비스,0.6288096060268429,1.947201382338316,-0.2374598030548791,0.3636363636363636,13.69,4.19,1198.34,1.5,105.42,111.57,99.3,107.7,103.5,15836.4,-0.04,-0.28
나래나노텍,1.0800753149147542,1.1600814451285553,-0.3984032462210665,0.75,102,0.97,1198.34,1.5,105.42,111.57,99.3,107.7,103.5,54250.0,-0.1,-0.0789473684210526
스코넥,1.955265120669969,1.941938496519113,-0.2064025017366816,0.4666666666666667,1724.66,59.95,1198.34,1.5,105.42,111.57,99.3,107.7,103.5,28941.9,1.0,0.2380952380952381
이지트로닉스,1.454969425969864,2.81387749234948,-0.0728123006165477,0.6428571428571429,1343.51,2.94,1198.34,1.5,105.42,111.57,99.3,107.7,103.5,43560.0,0.07,0.0731707317073171
LG에너지솔루션,0.8668887311053899,1.608539316292572,-0.1644142029282803,0.9,2023.37,77.38,1194.01,1.39,104.85,111.04,104.8,107.7,104.9,12750000.0,0.99,0.0771992818671454
애드바이오텍,1.0058834376280514,2.088040002720906,-0.1351170660827878,0.6578947368421053,102.15,0.0,1194.01,1.39,104.85,111.04,104.8,107.7,104.9,9520.0,-0.04,-0.0666666666666666
케이옥션,0.8568569600351532,1.6488754490918986,-0.0448498864716183,0.6111111111111112,1638.36,36.8,1194.01,1.39,104.85,111.04,104.8,107.7,104.9,32000.0,1.0,0.0810810810810811
오토앤,2.190494227040848,2.3077584517680427,0.1318600699258568,0.5,1713,8.34,1194.01,1.39,104.85,111.04,104.8,107.7,104.9,15251.17,0.66,0.1777777777777778
래몽래인,0.5489074967979501,-0.2657954712636043,0.0882573386952697,0.5625,1545.68,17.75,1183.7,1.27,104.04,109.88,123.6,107.3,104.3,18000.0,0.73,0.2244897959183673
케이티비네트워크,0.7591354988123129,2.4861293970388223,-0.0265072621957653,0.25,50.19,6.94,1183.7,1.27,104.04,109.88,123.6,107.3,104.3,116000.0,0.04,-0.1076923076923076
툴젠,0.8615201527548564,1.038785255429132,-0.1641177235132769,0.5517241379310345,29.54,0.1,1183.7,1.27,104.04,109.88,123.6,107.3,104.3,70000.0,0.18,-0.3636363636363636
알비더블유,1.925214293355448,2.481421729183828,0.0466676110191064,0.6764705882352942,1719.61 ,15.98,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,26814.2,1.0,0.0673316708229425
마인즈랩,1.2496386293299877,2.103106152844782,-0.1926798270268527,0.6428571428571429,197.55,19.74,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,18133.77,-0.01,0.0714285714285714
바이옵트로,2.22746509739456,1.9441043305274903,-0.232661635287519,0.0,205.12,0.98,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,7500.0,-0.03,-0.0625
트윔,0.8432787976506204,1.873016488880044,0.0255503457242686,0.8,1627.34,9.2,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,26840.0,1.0,0.1518324607329844
지오엘리먼트,1.1868051815546503,2.8664283039038128,0.1634475317616589,0.6153846153846154,1613.84 ,15.23,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,15470.0,1.0,0.2269938650306748
비트나인,1.040658807644522,2.0547192709926843,-0.0916726551804739,0.6666666666666666,1662.29,5.96,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,22781.0,0.39,0.1956521739130434
디어유,0.8039941638384116,2.312178967385367,0.440913503177317,0.7727272727272727,2001.11,37.46,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,85800.0,1.0,0.2380952380952381
아이티아이즈,0.9547750961987896,2.1300306630028123,-0.1780310364615927,0.5,1601.14,9.11,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,25411.1,1.0,0.0671641791044777
지니너스,1.0732451718995175,2.7108781961132564,-0.0999443682090181,0.5555555555555556,66.03,0.1,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,40000.0,-0.1,-0.29701230228471
피코그램,1.0560529242493448,1.9810136814411563,1.1557525703348923,1.0,1472.19,12.96,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,12500.0,1.0,0.0638297872340425
엔켐,2.2785444001742707,1.828886423824363,-0.0290132773599497,0.5,1647.40 ,64.45,1182.91,1.17,103.87,109.9,109.2,107.2,108.2,95030.25,0.94,0.2923076923076924
리파인,0.8493737134801425,2.8293309403482483,-0.0209661279816915,0.5714285714285714,64.19,3.22,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,90930.0,-0.1,-0.0666666666666666
지앤비에스엔지니어링,1.7133297848543338,2.2528301562721165,0.1309253591366921,0.4166666666666667,1134.34,4.37,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,24795.0,0.38,0.0977917981072555
아이패밀리에스씨,1.0772523452067055,2.160912802583154,-0.0837783314905133,0.375,63.10,0.0,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,24450.0,0.15,-0.4252873563218391
차백신연구소,0.8991405161724133,1.675241767101935,-0.0460823308352179,0.75,206.23,1.93,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,43450.0,0.06,-0.1538461538461538
지아이텍,1.0383407174019803,2.073397841682664,0.2384725568560143,0.6111111111111112,2068.17 ,25.28,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,37800.0,1.0,0.1382113821138211
케이카,0.0882961936354567,1.122597907487485,-0.0077393586884894,0.6111111111111112,40,0.0,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,420757.2,-0.1,-0.3548387096774194
씨유테크,1.1615171050283513,2.511995255478733,-0.0203276934717505,0.75,1565.03,22.76,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,31500.0,1.0,0.1214953271028036
원준,1.2856661652449397,2.328732988995829,-0.1595391916934925,0.8888888888888888,1464.10,44.3,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,65312.46,0.57,0.1607142857142858
아스플로,1.5417594043444045,2.3768437688106863,-0.4661564201958663,1.0,2142.7,12.1,1182.82,1.08,103.35,109.12,105.3,107.1,107.3,15750.0,0.44,0.2195121951219512
실리콘투,1.140797242846037,2.836236759975409,0.0916877628249546,0.7142857142857143,1437.63,8.37,1169.54,0.98,103.17,108.0,104.5,107.2,104.1,44988.8,0.42,0.0666666666666666
프롬바이오,0.5621491817693745,1.7751525309463596,-0.039443260892589,0.6666666666666666,85.71,1.45,1169.54,0.98,103.17,108.0,104.5,107.2,104.1,54000.0,0.07,-0.217391304347826
바이오플러스,0.8026493722405785,1.847828676468937,-0.1136221716776991,0.5882352941176471,1220.2,7.8,1169.54,0.98,103.17,108.0,104.5,107.2,104.1,44100.0,0.25,0.05
현대중공업,0.6967049230693712,2.0066852540687763,0.0328674213376435,0.7678571428571429,1835.87,53.09,1169.54,0.98,103.17,108.0,104.5,107.2,104.1,1080000.0,0.85,0.0714285714285714
와이엠텍,0.6085797709604766,2.135906925132593,-0.0572788520360336,0.4615384615384615,1696.19,31.59,1169.54,0.98,103.17,108.0,104.5,107.2,104.1,16800.0,1.0,0.2173913043478261
에이비온,0.8614550690885974,1.9480800014833115,-0.1211749355671311,0.5625,139.36,4.3,1169.54,0.98,103.17,108.0,104.5,107.2,104.1,38760.0,-0.01,0.0793650793650793
일진하이솔루스,0.4755015954012727,2.345641874458159,0.0718675108876681,0.6607142857142857,1471.01,61.52,1169.54,0.98,103.17,108.0,104.5,107.2,104.1,373663.86,1.0,0.1433333333333333
바이젠셀,1.5977937199451882,2.716659152007852,-0.0566234574802113,0.5526315789473685,1271.21,13.61,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,99417.5,0.39,0.1036649214659686
브레인즈컴퍼니,0.3826712237912577,3.2058152368733923,-0.0949438196129719,0.6111111111111112,1428.8,8.92,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,15000.0,1.0,0.1764705882352941
아주스틸,0.8594480762139072,3.0899627364624465,0.2271140844428172,0.7083333333333334,1776.9,16.33,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,104756.25,1.0,0.0863309352517984
롯데렌탈,0.9698502764784838,2.6632867045167776,0.1350766067753863,0.5769230769230769,217.63,14.65,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,850898.0,-0.03,0.1132075471698113
딥노이드,0.7108831368924906,2.373264564563058,0.1382359281322032,0.6363636363636364,1179.07,7.29,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,12600.0,0.71,0.1428571428571428
한컴라이프케어,1.6144336202284832,2.59335124968163,-0.0090622641093327,0.6842105263157895,418.99,3.27,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,113741.8,0.17,0.1229508196721311
플래티어,0.6776509326100184,2.6007330758539604,0.5928384690642796,0.625,1631,18.29,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,19800.0,1.0,0.1891891891891892
엠로,0.9857126239487076,0.8655127701386864,0.420323171664812,0.6666666666666666,685.60,6.97,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,22963.95,0.45,0.0585480093676815
원티드랩,0.8976344721906275,2.203082350639129,0.1196806827933241,0.8125,1503.91,10.98,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,25550.0,1.0,0.1111111111111111
에이치케이이노엔,0.872742496926715,3.30713616330375,0.2684313848028845,0.6,1871.36,13.49,1160.34,0.77,102.75,107.6,101.4,107.3,102.8,596903.0,0.15,0.0825688073394494
에브리봇,0.5559753722966017,1.436590258336567,0.1570771847673023,0.5,576.74,0.67,1143.98,0.69,102.26,107.04,104.1,107.2,103.6,41104.0,-0.1,0.0591630591630591
맥스트,1.625918982215167,2.0194940431773047,0.4753516178048455,0.625,1587.01,39.13,1143.98,0.69,102.26,107.04,104.1,107.2,103.6,15000.0,1.0,0.25
큐라클,1.1554012354752912,2.7137810913284595,0.2389326452492746,0.8636363636363636,1219.27,7.23,1143.98,0.69,102.26,107.04,104.1,107.2,103.6,53333.32,0.46,0.1111111111111111
에스디바이오센서,1.213018089856205,3.017165329276531,0.5423661864443161,0.7906976744186046,1143.76,12.45,1143.98,0.69,102.26,107.04,104.1,107.2,103.6,646994.4,0.1,0.0721649484536082
오비고,1.135536887909669,2.6045628637479408,0.1764704320790229,0.4523809523809524,1123.74 ,7.68,1143.98,0.69,102.26,107.04,104.1,107.2,103.6,31629.03,0.34,0.0711610486891385
아모센스,0.6575398146130444,2.9399333945740005,0.1751350125111534,0.7,116.79,2.57,1121.3,0.66,102.05,106.01,109.8,107.1,110.8,34470.24,-0.01,-0.1014492753623188
이노뎁,0.8480201211547271,1.5462934093633756,-0.1433539357928225,0.75,1573.93,6.05,1121.3,0.66,102.05,106.01,109.8,107.1,110.8,18900.0,0.23,0.125
라온테크,0.9294838799802916,1.6585664463441163,-0.2172824416299887,0.8571428571428571,1526.2,8.9,1121.3,0.66,102.05,106.01,109.8,107.1,110.8,9000.0,0.12,0.2587412587412587
엘비루셈,1.407002502270021,1.902359018018287,-0.0240350626835784,0.5555555555555556,1419.23,4.48,1121.3,0.66,102.05,106.01,109.8,107.1,110.8,84000.0,0.29,0.0769230769230768
에이디엠코리아,0.7412900742541151,1.422607991934698,-0.0966888507139419,0.55,1515.98,12.35,1121.3,0.66,102.05,106.01,109.8,107.1,110.8,17100.0,1.0,0.2258064516129032
제주맥주,1.193096829406191,1.4280434519277985,-0.013398806479869,0.5789473684210527,1356.43,5.47,1123.28,0.68,102.05,105.45,103.1,106.5,105.5,26758.4,0.49,0.1636363636363635
진시스템,0.6558154619724736,2.079327948131827,-0.0462386356210885,0.5,934.07,1.5,1123.28,0.68,102.05,105.45,103.1,106.5,105.5,28500.0,-0.05,0.1111111111111111
삼영에스앤씨,1.7051030802392102,2.2139050257094746,-0.1834545233808359,0.625,1762.39 ,15.27,1123.28,0.68,102.05,105.45,103.1,106.5,105.5,12155.0,1.0,0.2359550561797752
씨앤씨인터내셔널,1.1871151956175492,2.233077687235892,-0.0347058076234812,0.7727272727272727,1029.14,5.28,1123.28,0.68,102.05,105.45,103.1,106.5,105.5,70300.0,-0.01,0.1515151515151516
에이치피오,0.7411182103115972,2.052517274741976,-0.2179693402789659,0.4444444444444444,252.13,4.12,1123.28,0.68,102.05,105.45,103.1,106.5,105.5,88525.43,-0.1,-0.0672268907563025
쿠콘,0.941311148186296,1.868701638542257,0.0354373370183706,0.7222222222222222,1594.61,30.9,1119.4,0.74,101.98,104.88,103.7,105.8,102.4,72554.36,0.78,0.267605633802817
해성티피씨,1.0782574609214892,1.9492157063951367,-0.0524486668635444,0.8214285714285714,1508.95,16.05,1119.4,0.74,101.98,104.88,103.7,105.8,102.4,13000.0,1.0,0.2380952380952381
이삭엔지니어링,0.8211323817771947,2.010956319024751,0.021789675815457,0.8333333333333334,1427.15,20.73,1119.4,0.74,101.98,104.88,103.7,105.8,102.4,24150.0,1.0,0.0952380952380953
엔시스,1.0009525077033756,1.671502429777723,-0.2781060870377159,0.6,1467.73,21.73,1119.4,0.74,101.98,104.88,103.7,105.8,102.4,43700.0,1.0,0.2881355932203389
자이언트스텝,1.6519811791604333,1.9976709737707683,-0.0393677402878765,0.6666666666666666,1691.65,24.42,1131.02,0.75,101.84,103.89,108.3,105.1,100.6,15400.0,1.0,0.1
제노코,0.8100909684832467,1.4366535655895063,-0.0718284669915721,0.6666666666666666,1452.49,22.15,1131.02,0.75,101.84,103.89,108.3,105.1,100.6,17640.0,0.81,0.1999999999999999
라이프시맨틱스,1.2015994562791588,3.6552783475673727,0.461193990387637,0.7708333333333334,1402.17,3.78,1131.02,0.75,101.84,103.89,108.3,105.1,100.6,12500.0,1.0,0.1627906976744186
네오이뮨텍,0.6366309381364017,1.8204444783380345,0.2922834326399885,0.65,1374.09,25.54,1131.02,0.75,101.84,103.89,108.3,105.1,100.6,112500.0,1.0,0.271186440677966
프레스티지바이오로직스,0.2472221571263064,1.5990287759572412,0.3930736100958804,0.7407407407407407,369.91,6.5,1131.02,0.75,101.84,103.89,108.3,105.1,100.6,91140.0,-0.02,0.1753554502369667
싸이버원,1.468607627896232,1.6122553777646096,0.0203227910469706,0.375,1303.1,9.7,1131.02,0.75,101.84,103.89,108.3,105.1,100.6,12929.5,0.89,0.1949685534591194
나노씨엠에스,0.6262966155069551,1.953480481852066,0.089701257787875,0.5714285714285714,1295.75,6.65,1131.02,0.75,101.84,103.89,108.3,105.1,100.6,16000.0,0.65,0.2121212121212121
뷰노,0.9063427525088996,2.377710659644549,0.273469940807154,0.5,1457.21,23.8,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,37800.0,0.57,0.2173913043478261
씨이랩,0.7183608913984281,1.4024631747215013,0.227356158970565,0.0,1371.37,12.97,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,22750.0,0.33,0.2962962962962963
유일에너테크,0.4206920277312478,0.3182206036547894,0.1443982546944623,0.1666666666666666,1427.69,61.06,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,38643.2,1.0,0.28
오로스테크놀로지,0.7451684240486891,2.0094655802508603,0.433358880895305,0.5,1260,37.12,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,39900.0,1.0,0.1052631578947369
피엔에이치테크,2.14437096587672,2.131171984234303,-0.0834255164801933,0.6666666666666666,1454.47,9.58,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,12384.0,0.14,0.1612903225806452
아이퀘스트,0.9744087088888032,2.2406826996401814,0.1568287392394841,0.7647058823529411,1504.02,18.7,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,22000.0,1.0,0.1111111111111111
프레스티지바이오파마,0.7995721514381557,1.757056928429828,0.307253579340814,1.0,819.76,19.31,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,490932.48,-0.1,0.1228070175438595
와이더플래닛,0.8455472436113167,1.7406605437289129,0.0120500804500237,0.6111111111111112,1449.22,9.59,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,16000.0,0.56,0.1851851851851851
레인보우로보틱스,0.7486731041081587,2.035918175152664,0.2851571615890254,0.6666666666666666,1489.9,19.9,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,26500.0,1.0,0.25
솔루엠,0.5539501803432563,2.3674377968151608,0.2417625060599498,1.0,1167.55,20.79,1111.72,0.73,101.58,102.8,94.5,104.4,97.4,108800.0,1.0,0.1643835616438356
핑거,0.3991004197725205,1.4706477464285117,0.4178626478815555,0.7241379310344828,1453.12,12.64,1097.49,0.68,101.04,101.96,98.0,103.9,95.3,20800.0,1.0,0.1428571428571428
씨앤투스성진,0.6380251999544475,1.5378866165077838,0.2171873043224253,0.75,1010.02,1.7,1097.49,0.68,101.04,101.96,98.0,103.9,95.3,51200.0,-0.01,0.1034482758620689
모비릭스,1.3446573388250234,2.728944729305274,0.3633677062436843,0.625,1407.53,5.73,1097.49,0.68,101.04,101.96,98.0,103.9,95.3,25200.0,1.0,0.1428571428571428
선진뷰티사이언스,0.4738661993744335,1.3250976676735204,0.0594091381722039,0.375,1431,17.83,1097.49,0.68,101.04,101.96,98.0,103.9,95.3,21102.5,1.0,0.0648148148148148
엔비티,1.1428482290756763,1.4354577149159091,0.397531491860434,0.9166666666666666,1425.3,10.7,1097.49,0.68,101.04,101.96,98.0,103.9,95.3,15808.0,1.0,0.2337662337662338
석경에이티,1.5595193375405385,1.621350081433885,0.6979808385881529,0.7272727272727273,1390.29,6.68,1095.13,0.66,100.33,100.84,113.9,103.2,91.0,10000.0,1.0,0.1111111111111111
지놈앤컴퍼니,0.5163615856319854,1.1437407301344744,0.2852366940988686,0.65625,1163.49,9.08,1095.13,0.66,100.33,100.84,113.9,103.2,91.0,80000.0,1.0,0.0526315789473683
프리시젼바이오,1.4139862670972212,1.396229956081632,0.5869971956828299,0.5833333333333334,1231.23,1.62,1095.13,0.66,100.33,100.84,113.9,103.2,91.0,18750.0,1.0,0.0869565217391303
알체라,0.6854549418333469,1.7307505447947429,0.3221834900141747,0.4615384615384615,1315.61,3.88,1095.13,0.66,100.33,100.84,113.9,103.2,91.0,20000.0,1.0,0.1111111111111111
에프앤가이드,0.8837744141922208,1.6418496897250718,0.2662015392871953,0.5,1327.98,7.6,1095.13,0.66,100.33,100.84,113.9,103.2,91.0,11383.33,1.0,0.1965811965811965
티엘비,1.2511052931985611,1.7944858982525238,0.2185116933036121,0.625,1318.82,6.1,1095.13,0.66,100.33,100.84,113.9,103.2,91.0,38000.0,1.0,0.0674157303370786
인바이오,1.120318625870664,1.7565172366667552,0.0688101415368053,0.8,1386.04,8.23,1095.13,0.66,100.33,100.84,113.9,103.2,91.0,9454.0,1.0,0.0642201834862385
퀀타매트릭스,0.9645767106663978,1.4961951683199357,0.0967292878293212,0.425,185.56,4.6,1095.13,0.66,100.33,100.84,113.9,103.2,91.0,43528.5,-0.02,0.1283185840707965
